ID,CALL,CN,TYPE
06DDF947,F-BNSX,SX,MS-893 Commodore
06DF089B,D-1205,SX,Hornet
06DF122B,D-7843,SX,DG-300
06006569,D-6322,HUN,Discus 2
06B4E86F,Petyka,HUN,Paraglider
06D00165,D-6322,HUN,Discus 2
06DDF999,G-CHUN,HUN,Astir Club
06FD5A96,PalTkts,HUN,Paraglider
06440326,OE-5616,ZL,LS-8 18
064AD34C,SE-TZL,ZL,Twin Astir I
06A395C0,N33ZL,ZL,JS-3 18M
06D0259D,D-0296,ZL,ASW-20
06DD8A9B,D-5258,ZL,LS-4
06DD8D90,D-0296,ZL,ASW-20
06DDD589,D-KEZL,ZL,SF-25
06DDDD32,D-2893,ZL,LS-3
06DDED17,D-5664,ZL,LS-8
06DDF040,OK-1177,ZL,Cirrus Std
063E5CA3,D-KAGX,GX,SF-25
063ED95F,D-KXGX,GX,Discus 2cT
0647AAC6,LN-GGX,GX,H36 Dimona
06485012,PH-1520,GX,LS-8 st 18
06C80B3F,ZK-GGX,GX,Libelle Std
06D00144,C-GWGX,GX,PW-6
